254343, 246808, _
254252, 31, Tue Aug 12 13_35_03 2014
22186, 20276, _
22143, 41281, Tue Aug 12 13_43_23 2014
12470, 10728, _
12485, 41267, Tue Aug 12 13_45_11 2014
290023, 281771, _
289232, 35, Tue Aug 12 13_55_22 2014
74043, 70981, _
74141, 0, Tue Aug 12 13_41_45 2014
244081, 236905, _
243660, 41318, Tue Aug 12 13_56_01 2014
255964, 248548, _
255569, 36, Tue Aug 12 13_50_49 2014
858, 0, _
525, 0, Tue Aug 12 13_59_30 2014
80604, 77292, _
80607, 0, Tue Aug 12 13_42_59 2014
249100, 241939, _
249005, 31, Tue Aug 12 13_53_24 2014
319110, 309924, _
318813, 41, Tue Aug 12 13_37_12 2014
248815, 241329, _
248467, 41293, Tue Aug 12 13_48_11 2014
296849, 288396, _
296285, 36, Tue Aug 12 13_57_56 2014
312997, 303832, _
312828, 43, Tue Aug 12 13_37_28 2014
267602, 259794, _
267317, 33, Tue Aug 12 13_46_09 2014
294452, 286011, _
293920, 36, Tue Aug 12 13_56_50 2014
1204, 0, _
890, 2, Tue Aug 12 13_55_28 2014
243604, 236425, _
243013, 33, Tue Aug 12 13_49_54 2014
11829, 10188, _
11940, 0, Tue Aug 12 13_45_42 2014
297766, 288968, _
297460, 37, Tue Aug 12 13_37_02 2014
12370, 10729, _
12489, 41280, Tue Aug 12 13_45_32 2014
12126, 10439, _
12086, 41271, Tue Aug 12 13_44_56 2014
242127, 234925, _
241795, 30, Tue Aug 12 13_53_45 2014
319808, 310362, _
319346, 40, Tue Aug 12 13_36_50 2014
257057, 249343, _
256952, 32, Tue Aug 12 13_35_34 2014
16676, 14925, _
16716, 0, Tue Aug 12 13_44_30 2014
246889, 239623, _
246487, 35, Tue Aug 12 13_49_57 2014
250188, 242736, _
250073, 41300, Tue Aug 12 13_35_54 2014
280065, 272170, _
279568, 18, Tue Aug 12 13_55_37 2014
251510, 244230, _
251353, 30, Tue Aug 12 13_54_28 2014
259359, 252006, _
259119, 36, Tue Aug 12 13_51_10 2014
262161, 254565, _
261734, 35, Tue Aug 12 13_52_27 2014
1073, 1, _
773, 41294, Tue Aug 12 13_57_13 2014
251411, 243971, _
250986, 34, Tue Aug 12 13_52_50 2014
253575, 246215, _
253319, 30, Tue Aug 12 13_54_02 2014
245385, 238265, _
245092, 31, Tue Aug 12 13_46_56 2014
257611, 250427, _
257296, 33, Tue Aug 12 14_00_09 2014
249502, 242161, _
248967, 33, Tue Aug 12 13_50_30 2014
23175, 21299, _
23049, 4, Tue Aug 12 13_44_14 2014
240017, 232641, _
239675, 30, Tue Aug 12 13_35_58 2014
283803, 275794, _
283419, 41351, Tue Aug 12 13_55_25 2014
245482, 238374, _
245266, 33, Tue Aug 12 13_51_38 2014
253575, 246215, _
253319, 30, Tue Aug 12 13_53_57 2014
1117, 1, _
841, 0, Tue Aug 12 13_57_05 2014
1136, 1, _
780, 2, Tue Aug 12 13_57_38 2014
317934, 308729, _
317700, 44, Tue Aug 12 13_38_25 2014
303205, 294622, _
303013, 42, Tue Aug 12 13_38_04 2014
294449, 286224, _
293973, 35, Tue Aug 12 13_54_54 2014
74043, 70981, _
74141, 0, Tue Aug 12 13_41_47 2014
1136, 1, _
780, 2, Tue Aug 12 13_57_33 2014
242130, 235024, _
241783, 30, Tue Aug 12 13_53_50 2014
956, 0, _
594, 2, Tue Aug 12 13_59_59 2014
242599, 235231, _
242192, 29, Tue Aug 12 13_34_30 2014
11646, 10026, _
11808, 0, Tue Aug 12 13_45_04 2014
12126, 10439, _
12176, 3, Tue Aug 12 13_45_03 2014
239490, 232230, _
239198, 29, Tue Aug 12 13_34_40 2014
246455, 239215, _
246140, 41315, Tue Aug 12 13_54_13 2014
160767, 155564, _
160646, 20, Tue Aug 12 13_41_26 2014
116359, 111644, _
117660, 16, Tue Aug 12 13_33_26 2014
313124, 304088, _
312754, 43, Tue Aug 12 13_38_49 2014
253214, 245727, _
252723, 35, Tue Aug 12 13_51_45 2014
265435, 257644, _
264959, 36, Tue Aug 12 13_51_53 2014
310570, 301475, _
310245, 43, Tue Aug 12 13_37_57 2014
314008, 304974, _
313682, 43, Tue Aug 12 13_38_59 2014
211965, 204232, _
214270, 42, Tue Aug 12 14_00_26 2014
252051, 244743, _
251749, 34, Tue Aug 12 13_49_18 2014
87993, 84484, _
88040, 12, Tue Aug 12 13_42_38 2014
265375, 257456, _
265283, 33, Tue Aug 12 13_47_57 2014
81884, 78410, _
81784, 0, Tue Aug 12 13_42_05 2014
23415, 21466, _
23358, 4, Tue Aug 12 13_43_46 2014
304569, 295572, _
304273, 43, Tue Aug 12 13_37_46 2014
244616, 237265, _
244379, 30, Tue Aug 12 13_36_21 2014
320495, 310992, _
320190, 41, Tue Aug 12 13_36_46 2014
258988, 251500, _
258872, 32, Tue Aug 12 13_47_03 2014
249752, 242284, _
249301, 23, Tue Aug 12 13_35_31 2014
247157, 239892, _
246979, 34, Tue Aug 12 13_52_20 2014
251587, 244119, _
251368, 31, Tue Aug 12 13_47_50 2014
319714, 310634, _
319435, 43, Tue Aug 12 13_39_15 2014
158280, 153096, _
158195, 20, Tue Aug 12 13_41_41 2014
252442, 245026, _
252065, 27, Tue Aug 12 13_46_53 2014
254309, 246910, _
254011, 32, Tue Aug 12 13_47_21 2014
291893, 283428, _
291735, 37, Tue Aug 12 13_37_18 2014
261488, 253566, _
261011, 32, Tue Aug 12 13_48_21 2014
305205, 296456, _
304844, 41316, Tue Aug 12 13_37_25 2014
155257, 150210, _
155187, 41288, Tue Aug 12 13_41_37 2014
250523, 242798, _
250186, 27, Tue Aug 12 13_48_05 2014
247074, 239589, _
246632, 41317, Tue Aug 12 13_48_29 2014
254461, 246844, _
253996, 37, Tue Aug 12 13_49_33 2014
297529, 289137, _
297108, 36, Tue Aug 12 13_58_04 2014
262161, 254565, _
261734, 35, Tue Aug 12 13_52_30 2014
258385, 250602, _
257991, 33, Tue Aug 12 13_48_08 2014
302334, 293744, _
301879, 41328, Tue Aug 12 13_56_18 2014
254968, 247224, _
254675, 41283, Tue Aug 12 13_34_42 2014
216087, 200960, _
222302, 41355, Tue Aug 12 14_01_07 2014
82065, 78622, _
81930, 41296, Tue Aug 12 13_42_13 2014
23415, 21466, _
23358, 4, Tue Aug 12 13_43_48 2014
215245, 200360, _
221514, 38, Tue Aug 12 14_01_22 2014
256765, 249244, _
256321, 33, Tue Aug 12 13_48_39 2014
260780, 253112, _
260191, 34, Tue Aug 12 13_48_55 2014
1115, 0, _
